acrimony
animosity
annoyance
antagonism
displeasure
enmity
exasperation
fury
hatred
impatience
indignation
ire
irritation
outrage
passion
rage
resentment
temper
violence
chagrin
choler
conniption
dander
disapprobation
distemper
gall
huff
infuriation
irascibility
irritability
miff
peevishness
petulance
pique
rankling
soreness
stew
storm
tantrum
tiff
umbrage
vexation
blow up
cat fit
hissy fit
ill humor
ill temper
mad
slow burn
bitter
enraged
exasperated
furious
heated
impassioned
indignant
irate
irritable
irritated
offended
outraged
resentful
sullen
uptight
affronted
antagonized
chafed
choleric
convulsed
cross
displeased
exacerbated
ferocious
fierce
fiery
fuming
galled
hateful
hot
huffy
ill-tempered
incensed
inflamed
infuriated
irascible
ireful
maddened
nettled
piqued
provoked
raging
riled
sore
splenetic
storming
sulky
tumultous/tumultuous
turbulent
vexed
wrathful
