angst
anxiety
concern
despair
dismay
doubt
dread
horror
jitters
panic
scare
suspicion
terror
unease
uneasiness
worry
abhorrence
agitation
aversion
awe
consternation
cowardice
creeps
discomposure
disquietude
distress
faintheartedness
foreboding
fright
funk
misgiving
nightmare
phobia
presentiment
qualm
reverence
revulsion
timidity
trembling
tremor
trepidation
bête noire
chickenheartedness
cold feet
cold sweat
recreancy
