anguish
grief
heartache
heartbreak
hopelessness
melancholy
misery
mourning
poignancy
sorrow
blahs
bleakness
bummer
cheerlessness
dejection
despondency
disconsolateness
dispiritedness
distress
dolefulness
dolor
downer
dysphoria
forlornness
funk
gloominess
letdown
listlessness
moodiness
mopes
mournfulness
sorrowfulness
tribulation
woe
blue devils
blue funk
broken heart
dismals
downcastness
grieving
heavy heart
the blues
the dumps
bitter
dismal
heartbroken
melancholy
mournful
pessimistic
somber
sorrowful
sorry
wistful
bereaved
blue
cheerless
dejected
despairing
despondent
disconsolate
distressed
doleful
down
down in dumps
down in mouth
downcast
forlorn
gloomy
glum
grief-stricken
grieved
heartsick
heavyhearted
hurting
in doldrums
in grief
in the dumps
languishing
low
low-spirited
lugubrious
morbid
morose
out of sorts
pensive
sick at heart
troubled
weeping
woebegone
