apathy
disgust
ennui
fatigue
indifference
lethargy
monotony
tedium
detachment
distaste
doldrums
dullness
flatness
lassitude
listlessness
sameness
tediousness
tiresomeness
unconcern
world-weariness
yawn
incuriosity
irksomeness
jadedness
lack of interest
pococurantism
taedium vitae
disinterested
fatigued
tired
dull
blasé
inattentive
sick and tired
spiritless
turned off
